titolo,categoria,ingredienti
Tortino di cioccolato fondente profumato al Santonego,DOLCI,"['Latte intero 600 ml', 'Burro 70 g', 'Farina 00 80 g', 'Albumi 6', 'Tuorli 4', 'Cioccolato fondente 80 g', 'Zucchero a velo vanigliato 60 g', 'Santonego q.b.']"
Insalata di riso tiepida con funghi,PIATTI UNICI,"['Riso Roma 320 g', 'Funghi finferli (gallinacci) 400 g', 'Porri 1', 'Spinaci 300 g', 'Semi di zucca q.b.', 'Semi di lino q.b.', 'Semi di sesamo q.b.', 'Sale fino q.b.', 'Olio extravergine di oliva q.b.']"
Pollo autunnale,SECONDI PIATTI,"['Tagliata di petto di pollo 300 g', 'Patate bollite 500 g', 'Acqua 100 g', 'Olio extravergine di oliva 30 g', 'Castagne 100 g', 'Funghi finferli (gallinacci) 200 g', 'Cavolfiore 400 g', 'Cavolo nero 200 g', 'Sale fino q.b.', 'Pepe nero q.b.']"
Risotto brie e melagrana,PRIMI PIATTI,"['Riso Roma 320 g', 'Melagrana 400 g', 'Cipolle dorate 1', 'Timo q.b.', 'Maggiorana q.b.', 'Rosmarino q.b.', 'Origano q.b.', 'Vino bianco 80 g', 'Acqua 30 g', 'Brodo vegetale 800 g', 'Olio extravergine di oliva q.b.', 'Sale fino q.b.', 'Brie 200 g', 'Burro 30 g']"
Cheesecake pan di zenzero e Nutella®,DOLCI,"['Farina 00 50 g', 'Farina di mandorle 50 g', 'Burro freddo 50 g', 'Zucchero di canna 50 g', 'Sale fino 5 g', 'Cannella in polvere q.b.', 'Zenzero in polvere q.b.', 'Noce moscata in polvere q.b.', 'Robiola 280 g', 'Panna fresca liquida 170 g', 'Miele di acacia 30 g', 'Gelatina in fogli 8 g', 'Nutella® 60 g', 'Ribes rosso q.b.', 'Ribes bianchi q.b.']"
Polpette tricolore,SECONDI PIATTI,"['Carne bovina macinata 300 g', 'Pollo (carne macinata) 300 g', 'Patate 300 g', 'Zucchine 300 g', 'Uova 3', 'Pangrattato 150 g', 'Grana Padano DOP grattugiato 1 cucchiaio', 'Aglio 1 spicchio', 'Prezzemolo 1 ciuffo', 'Concentrato di pomodoro 1 cucchiaio', 'Granella di pistacchi 60 g', 'Sale fino q.b.', 'Olio extravergine di oliva 200 g']"
"Riso con pesto di radicchio, barbabietola e caco mela",PRIMI PIATTI,"['Riso integrale 300 g', 'Barbabietole precotte 150 g', 'Cachi mela 60 g', 'Parmigiano Reggiano DOP in scaglie 50 g', 'Senape in grani 10 g', 'Timo q.b.', 'Olio extravergine di oliva q.b.', 'Radicchio lungo 200 g', 'Barbabietole precotte 50 g', 'Gherigli di noci 70 g', 'Parmigiano Reggiano DOP da grattugiare 50 g', 'Olio extravergine di oliva q.b.', 'Pepe nero q.b.', 'Sale fino q.b.']"
Triangolini dolci di Carnevale,DOLCI,"['Patate 200 g', 'Farina 00 280 g', 'Zucchero 20 g', 'Uova 55 g', 'Burro (ammorbidito, quasi sciolto a temperatura ambiente) 60 g', 'Scorza di limone 1', 'Lievito in polvere per dolci 10 g', 'Sale fino 1 pizzico', 'Confettura di fragole 200 g', 'Olio di semi di arachide q.b.', 'Zucchero a velo q.b.']"
Torretta di patate su schiacciata,ANTIPASTI,"['La Bottega di Olivia&Marino schiacciate 12', 'Patate piccole 150 g', 'Fontina 72 g', 'Rosmarino q.b.', 'Sale fino q.b.', 'Pepe nero q.b.', 'Olio extravergine di oliva q.b.']"
Stecchi mostruosi con Pavesini,DOLCI,"['Pavesini al cacao (circa 4 pacchetti) 44', 'Cioccolato bianco 325 g', 'Panna fresca liquida 125 g', 'Burro a temperatura ambiente 35 g', 'Codette al cioccolato q.b.', 'Decorazione alimentare occhietti in zucchero q.b.']"
"Insalata di riso con pesche, piselli e stracchino",PIATTI UNICI,"['Riso integrale 300 g', 'Pesche 200 g', 'Stracchino 120 g', 'Menta 20 g', 'Pisellini baccelli 500 g', 'Olio extravergine di oliva 50 g', 'Pepe rosa in grani q.b.', 'Sale fino q.b.']"
Arrosto al latte caramellato con ananas e mais,SECONDI PIATTI,"['Carrè di maiale 800 g', 'Ananas piccolo fresco 1', 'Miele circa 4 cucchiai', 'Zucchero di canna circa 4 cucchiai', 'Burro 60 g', 'Salvia 6 foglie', 'Chiodi di garofano 8', 'Latte 1 l', 'Pepe bianco q.b.', 'Farina 00 q.b.', 'Chicchi di mais giallo in scatola 2 confezioni']"
Sformatini di pane guttiau al vino rosso e mele,ANTIPASTI,"['Mele Golden Delicious 320 g', 'Pane guttiau 120 g', 'Gorgonzola dolce 170 g', 'Latte intero 90 g', 'Vino rosso Teroldego q.b.', 'Burro 10 g', 'Rosmarino q.b.', 'Sale fino q.b.', 'Pepe nero q.b.']"
Irish coffee semiliquido,DOLCI,"['Latte intero 124 ml', 'Panna fresca liquida 150 g', 'Zucchero 50 g', 'Gelatina in fogli 4 g', 'Whisky 50 ml', 'Caffè 160 ml']"
Focaccia senza glutine con caponata,PIATTI UNICI,"['Focaccia senza glutine 2', 'Pecorino semistagionato 80 g', 'Songino 30 g', 'Melanzane lunghe 230 g', 'Pomodorini ciliegino 170 g', 'Cipolle dorate 1', 'Capperi sotto sale 20 g', 'Olive verdi denocciolate 20 g', 'Pinoli 20 g', 'Basilico q.b.', 'Olio extravergine di oliva q.b.', 'Sale fino q.b.', 'Pepe nero q.b.']"
Pollo con crema di funghi e indivia,SECONDI PIATTI,"['Funghi champignon 200 g', 'Brodo vegetale 300 g', 'Porri 150 g', 'Sale fino q.b.', 'Pepe nero q.b.', 'Olio extravergine di oliva q.b.', 'Pollo in parti 1100 g', 'Olio extravergine di oliva q.b.', 'Sale fino q.b.', 'Pepe nero q.b.', 'Paprika forte q.b.', 'Rosmarino q.b.', 'Indivia belga 300 g', 'Olio extravergine di oliva q.b.', 'Sale fino q.b.', 'Pepe nero q.b.', 'Aneto q.b.']"
Bowl di anguria e tofu,DOLCI,"['Cocomero (anguria) da pulire 450 g', 'Fragole 130 g', 'Pesche 1', 'Albicocche 4', 'Susine 2', 'Scorza di limone 1', 'Timo q.b.', 'Tofu 180 g', 'Succo di limone ½', 'Miele millefiori 10 g', 'Olio extravergine di oliva 1 cucchiaio', 'Sale fino q.b.', 'Pepe nero q.b.']"
Crostino con anguria marinata e formaggio,ANTIPASTI,"['Cocomero (anguria) da pulire 900 g', 'Pane casereccio 8 fette', 'Caciocavallo 200 g', 'Olio extravergine di oliva q.b.', 'Aceto di mele 5 g', 'Aglio ½ spicchio', 'Timo 2 rametti', 'Salvia 4 foglie', 'Rosmarino 1 rametto', 'Pepe di Sichuan 1 cucchiaino', 'Sale fino q.b.']"
Millefoglie di chiacchiere con crema e pere,DOLCI,"['Farina 00 500 g', 'Zucchero 70 g', 'Burro morbido 50 g', 'Uova 3', 'Tuorli 1', 'Grappa 30 g', 'Estratto di vaniglia 10 g', 'Lievito in polvere per dolci 6 g', 'Sale fino 1 pizzico', 'Pere abate 150 g', 'Latte intero 500 g', 'Panna fresca liquida 360 g', 'Zucchero 150 g', 'Tuorli 6', 'Amido di mais (maizena) 50 g', 'Estratto di vaniglia 10 g', 'Gelatina in fogli 4 g', 'Olio di semi di arachide q.b.', 'Zucchero a velo q.b.']"
Panettone senza glutine,DOLCI,"['Farina per pane senza glutine 70 g', 'Acqua tiepida 60 g', 'Lievito di birra fresco senza glutine 15 g', 'Malto di riso senza glutine 1 cucchiaino', 'Farina per pane senza glutine 280 g', 'Zucchero 80 g', 'Tuorli (di uova medie) 2', 'Burro morbido 70 g', 'Acqua tiepida 150 g', 'Farina per pane senza glutine 50 g', 'Burro morbido 20 g', 'Tuorli (medi) 2', 'Scorza di limone 1', ""Scorza d'arancia 1"", 'Canditi senza glutine 150 g', 'Burro 30 g', 'Panna fresca liquida 200 g', 'Cioccolato fondente 300 g', 'Cioccolato fondente in scaglie 80 g']"
Bucatini con zampone croccante e carciofi,PRIMI PIATTI,"['Bucatini 320 g', 'Zampone 1 kg', 'Carciofi 5', 'Acqua 200 ml', 'Limoni 1', 'Prezzemolo 4 rametti', 'Aglio 1 spicchio', 'Sale fino q.b.', 'Pepe nero q.b.']"
Pasta con ragù di agnello e castagne,PRIMI PIATTI,"['Pennette rigate 5 cereali 320 g', 'Agnello lombata 680 g', 'Castagne 250 g', 'Sedano 100 g', 'Porri 90 g', 'Panna fresca liquida 100 g', 'Vino rosato 20 g', 'Zenzero fresco 10 g', 'Zafferano 1 bustina', 'Timo (abbondante) q.b.', 'Olio extravergine di oliva q.b.', 'Pepe nero q.b.', 'Sale fino q.b.']"
Mattonella di Natale,DOLCI,"['Savoiardi 18', 'Panna fresca liquida 400 g', 'Zucchero a velo 80 g', ""Succo d'arancia da filtrare 1"", 'Arancia candita (scorzette) 100 g', 'Gocce di cioccolato bianco 30 g', 'Ribes rosso q.b.']"
Pavesini sandwich al caffè e cioccolato,DOLCI,"['Pavesini 100 g', 'Cioccolato fondente 150 g', 'Caffè (espresso della Moka) 30 g', 'Chicchi di caffè 18 g', 'Panna fresca liquida 150 g', 'Granella di pistacchi q.b.', 'Ribes q.b.']"
Zuccamisù,DOLCI,"['Pavesini 63', 'Caffè (della moka) 100 g', 'Cacao amaro in polvere q.b.', 'Zucca delica (da pulire) 170 g', 'Latte intero 250 g', 'Mascarpone freddo di frigo 200 g', 'Panna fresca liquida fredda di frigo 100 g', 'Zucchero 70 g', 'Tuorli (circa 1 medio) 37 g', 'Amido di mais (maizena) 23 g', 'Gelatina in fogli 4 g', 'Baccello di vaniglia (i semi) 1']"
Cracker allo zafferano,ANTIPASTI,"['Farina 00 500 g', 'Latte intero 250 ml', 'Burro ammorbidito 25 g', 'Zafferano 0,25 g', 'Lievito di birra fresco 8 g', 'Sale fino 10 g', 'Crescenza 200 g', 'Zafferano in pistilli q.b.']"
Insalata di riso con salmone tataki e rucola,PIATTI UNICI,"['Riso integrale 320 g', 'Rucola 75 g', 'Mandorle in scaglie 50 g', 'Olio extravergine di oliva 30 g', 'Sale fino q.b.', 'Filetto di salmone (abbattuto) 400 g', 'Salsa di soia 50 g', 'Semi di sesamo nero 40 g', 'Semi di lino 40 g', 'Olio di sesamo q.b.', 'Mandorle in scaglie q.b.', 'Olio extravergine di oliva q.b.']"
Hosomaki vegetariano,PIATTI UNICI,"['Riso originario 120 g', 'Alga nori (DA 21x15 cm) 2 fogli', 'Zucca napoletana 160 g', 'Porri 80 g', 'Aceto di riso 15 g', 'Wasabi 10 g', 'Sale fino q.b.']"
Ghirlanda salata di Natale,ANTIPASTI,"['Farina 00 500 g', 'Latte intero 200 g', 'Olio extravergine di oliva 80 g', 'Uova 1', 'Lievito istantaneo per preparazioni salate 15 g', 'Sale fino 10 g', 'Zucchero 5 g', 'Prosciutto cotto 200 g', 'Fontina 180 g', 'Latte intero q.b.', 'Semi di sesamo q.b.', 'Pepe rosa in grani q.b.']"
"Millefoglie taleggio, salmone e rucola",ANTIPASTI,"['Taleggio D.O.P. 200 g', 'Pasta Sfoglia rettangolare 230 g', 'Salmone affumicato 100 g', 'Rucola 65 g']"
Minestra ai tre pomodori,PRIMI PIATTI,"['Chicchi di farina di legumi (lenticchie rosse e piselli) 300 g', 'Pomodorini gialli 120 g', 'Pomodori sardi (camone) verdi 100 g', 'Pomodori pizzutelli 240 g', 'Basilico 10 g', 'Spinacini 20 g', 'Scalogno 1', 'Olio extravergine di oliva q.b.', 'Sale fino q.b.', 'Pepe nero q.b.']"
Cioccolatte bianco,BEVANDE,"['Cappuccino solubile 8 cucchiaini', 'Acqua 200 g', 'Ghiaccio 200 g', 'Cioccolato bianco fuso 80 g', 'Cioccolato bianco in scaglie q.b.', 'Ghiaccio cubetti 24', 'Caffè in polvere q.b.', 'Panna fresca liquida 100 g']"
Torcelli con crema di lenticchie e guanciale,ANTIPASTI,"['La Bottega di Olivia&Marino Torcelli 12', 'Lenticchie secche 600 g', 'Burro 60 g', 'Cipolle 20 g', 'Sale fino q.b.', 'Pepe nero q.b.', 'Guanciale 80 g', 'Olio extravergine di oliva 2 cucchiai', 'Brodo vegetale 1 l']"
"Nidi di funghi, crema di zucca e mozzarella",PRIMI PIATTI,"['Latte intero 250 g', 'Farina 00 125 g', 'Uova (circa 1,5) 80 g', 'Burro 20 g', 'Sale fino 1 pizzico', 'Zucca delica (già pulita) 550 g', 'Latte intero 100 g', 'Acqua 100 g', 'Aglio 1 spicchio', 'Rosmarino 1 rametto', 'Olio extravergine di oliva q.b.', 'Sale fino q.b.', 'Pepe nero q.b.', 'Funghi secchi porcini 40 g', 'Aglio 1 spicchio', 'Prezzemolo (da tritare) q.b.', 'Olio extravergine di oliva q.b.', 'Sale fino q.b.', 'Pepe nero q.b.', 'Mozzarelline ciliegine 20', 'Grana Padano DOP (da grattugiare) q.b.', 'Burro per la crepiera q.b.', 'Olio extravergine di oliva per la teglia q.b.']"
Centrotavola di pane con broccoli,LIEVITATI,"['Broccoli romaneschi intero con foglie 700 g', 'Farina 00 600 g', 'Acqua a temperatura ambiente 320 g', 'Lievito di birra secco 7 g', 'Sale fino 15 g', 'Olio extravergine di oliva 50 g', 'Prezzemolo 5 g', 'Olio extravergine di oliva q.b.', 'Acqua q.b.', 'Sale fino q.b.', 'Pepe nero q.b.', 'Stracchino 100 g', 'Speck 100 g', 'Olio extravergine di oliva q.b.', 'Mandorle in scaglie q.b.']"
Tartellette fantasmino al Grana Padano,ANTIPASTI,"['Farina 00 450 g', 'Acqua 200 g', 'Burro 100 g', 'Grana Padano DOP 140 g', 'Panna fresca liquida 250 g', 'Latte intero 150 g', 'Farina 00 35 g', 'Semi di sesamo nero q.b.']"
Canapé di panettone con robiola e culatello,ANTIPASTI,"['Panettone 80 g', 'Culatello 80 g', 'Robiola 50 g', 'Scorza di limone 1', 'Timo 2 rametti', 'Olio extravergine di oliva 10 g', 'Pepe nero 1 cucchiaino']"
"Tortini di pandoro con mele, noci e Nutella®",DOLCI,"['Nutella® 180 g', 'Pandoro 1,3 kg', 'Mele Golden Delicious 800 g', 'Gherigli di noci (da tritare) 180 g', 'Zucchero 60 g', ""Succo d'arancia 1"", 'Burro 60 g', 'Ribes q.b.', 'Menta q.b.']"
Tronco delle feste con Nutella®,DOLCI,"['Panettone (base alta 10 cm) ½', 'Cioccolato fondente 200 g', 'Nutella® 150 g', 'Ribes q.b.', 'Burro fuso 10 g', 'Zucchero q.b.', 'Meringhe q.b.', 'Mirto rametti q.b.', 'Farina di pistacchi q.b.', 'Liquirizia in radici q.b.']"
Grittibänz elvetici,LIEVITATI,"['Farina 00 500 g', 'Zucchero 40 g', 'Latte intero 250 g', 'Burro 60 g', 'Uova medio 1', 'Lievito di birra fresco 12 g', 'Sale fino q.b.', 'Granella di nocciole q.b.', 'Granella di pistacchi q.b.', 'Granella di zucchero q.b.']"
Sfoglie alle olive con insalata di pollo al verde,ANTIPASTI,"['La Bottega di Olivia&Marino sfoglie alle olive 12', 'Petto di pollo 300 g', 'Cipolle bianche 1', 'Carote 1', 'Alloro 2 foglie', 'Chiodi di garofano 3', 'Sale grosso q.b.', 'Prezzemolo 20 g', 'Basilico 15 foglie', 'Olive verdi 10 g', 'Capperi 10 g', 'Aglio 1/2 spicchio', 'Olio extravergine di oliva 3 cucchiai', 'Sale fino q.b.', 'Succo di limone 1 cucchiaio']"
"Cappellacci alla curcuma, burro e Grana Padano",PRIMI PIATTI,"['Farina 00 200 g', 'Uova (circa 2 medie) 110 g', 'Curcuma in polvere 1 cucchiaino', 'Sale fino 1 pizzico', 'Grana Padano DOP (Riserva Oltre 20 mesi, da grattugiare) 250 g', 'Panna fresca liquida 150 g', 'Burro 50 g', 'Grana Padano DOP (Riserva Oltre 20 mesi, da grattugiare) 20 g']"
Galletto fritto,SECONDI PIATTI,"['Galletto intero 500 g', 'Farina di riso 60 g', 'Acqua 100 g', 'Pangrattato 100 g', 'Olio di semi di arachide q.b.', 'Sale fino q.b.']"
Sfoglie alle olive con topinambur e raspadura,ANTIPASTI,"['La Bottega di Olivia&Marino sfoglie croccanti al forno con pezzetti di olive 12', 'Topinambur 140 g', 'Raspadura 12 scaglie', 'Brodo vegetale 100 g', 'Prezzemolo q.b.', 'Olio extravergine di oliva q.b.', 'Sale fino q.b.', 'Pepe nero q.b.']"
Sfilati con purea di fave e pancetta,ANTIPASTI,"['La Bottega di Olivia&Marino sfilati alle olive 12', 'Pancetta fettine sottili 12', 'Fave sgusciate e pulite 170 g', 'Brodo vegetale 200 ml', 'Scalogno 1', 'Olio extravergine di oliva q.b.', 'Sale fino q.b.', 'Pepe nero q.b.']"
Focaccine con Grana Padano e ragù di bacon e castagne,ANTIPASTI,"['Farina 0 250 g', 'Acqua a temperatura ambiente 180 g', 'Olio extravergine di oliva 40 g', 'Lievito istantaneo per preparazioni salate 8 g', 'Sale fino ½ cucchiaino', 'Bacon 100 g', 'Castagne (precotte) 90 g', 'Rosmarino q.b.', 'Pepe nero q.b.', 'Grana Padano DOP (Riserva oltre 20 mesi) in scaglie q.b.']"
Sfoglie classiche con briciole di salsiccia,ANTIPASTI,"['La Bottega di Olivia&Marino foglie classiche 12', 'Olio extravergine di oliva 2 cucchiai', 'Finocchietto selvatico 2 cucchiaini', 'Salsiccia 60 g']"
"Schiacciate con cozze, bottarga e scorza di limone",ANTIPASTI,"['La Bottega di Olivia&Marino schiacciate croccanti con olio extravergine di oliva 12', 'Cozze 250 g', 'Bottarga di muggine 30 g', 'Scorza di limone non trattato 1', 'Aglio 1 spicchio', 'Olio extravergine di oliva q.b.', 'Pepe nero q.b.']"
Struffoli con creme al latte,DOLCI,"['Farina 00 400 g', 'Miele 250 g', 'Latte condensato 100 g', 'Burro 60 g', 'Uova 2', 'Tuorli 1', ""Scorza d'arancia mezza"", 'Scorza di limone mezzo', 'Sale fino 1 pizzico', 'Mirtilli 125 g', 'Lamponi 125 g', 'Latte condensato 120 g', 'Mango 1', 'Olio di semi di arachide q.b.']"
Grigliata di zucca e porcini,CONTORNI,"['Zucca delica 550 g', 'Funghi porcini (250 g da puliti) 300 g', 'Rosmarino 2 rametti', 'Timo 4 rametti', 'Olio extravergine di oliva 50 g', 'Sale fino q.b.', 'Pepe nero q.b.', 'Fontina 150 g', 'Panna fresca liquida 125 g', 'Noce moscata 1 pizzico']"
Rolls con Grana Padano e verdure,ANTIPASTI,"['Pasta per la pizza (già stesa) 400 g', 'Pasta Sfoglia rettangolare 230 g', 'Catalogna 400 g', 'Funghi champignon 150 g', 'Grana Padano DOP Riserva oltre 20 mesi 50 g', 'Mandorle in scaglie 40 g', 'Aglio 2 spicchi', 'Olio extravergine di oliva q.b.', 'Sale fino q.b.', 'Pepe nero q.b.']"
Schiacciatine alle more e gorgonzola,LIEVITATI,"['Acqua 250 g', 'Farina 00 400 g', 'Olio extravergine di oliva 40 g', 'Lievito di birra fresco 12 g', 'Sale fino 5 g', 'More 500 g', 'Gorgonzola 200 g', 'Zucchero 4 cucchiai', 'Rosmarino q.b.', 'Olio extravergine di oliva q.b.', 'Sale di maldon q.b.']"
Sfoglia classica con scampi saltati al balsamico,ANTIPASTI,"['La Bottega di Olivia&Marino sfoglie classiche 12', 'Scampi 600 g', 'Aceto balsamico 15 g', 'Pepe rosa in grani 1 g', 'Olio extravergine di oliva q.b.', 'Sale fino q.b.']"
Brioche di sfoglia con ciliegie e Nutella®,DOLCI,"['Pasta Sfoglia (2 rotoli rettangolari) 460 g', 'Burro 30 g', 'Zucchero a velo q.b.', 'Nutella® 90 g', 'Pistacchi q.b.', 'Mandorle in scaglie q.b.', 'Ciliegie 300 g', 'Zucchero 30 g', 'Scorza di limone 1']"
Sfoglie con speck e cavolo nero,ANTIPASTI,"['La Bottega di Olivia&Marino sfoglie classiche al forno 12', 'Cavolo nero 200 g', 'Speck 70 g', 'Olio extravergine di oliva q.b.', 'Sale fino q.b.']"
Riso patate e cozze,PRIMI PIATTI,"['Riso Arborio 300 g', 'Cozze (da pulire) 500 g', 'Patate 400 g', 'Pecorino romano (da grattugiare) 150 g', 'Pomodorini ciliegino 100', 'Cipolle bianche 70 g', 'Prezzemolo 2 ciuffi', 'Aglio 1 spicchio', 'Acqua 300 g', 'Olio extravergine di oliva q.b.', 'Sale fino q.b.', 'Pepe nero q.b.']"
Demi baguette al salmone,PIATTI UNICI,"['Baguette 2', 'Avocado maturi 2', 'Melagrana 1', 'Panna acida q.b.', 'Burro salato q.b.', 'Germogli di crescione q.b.', 'Filetto di salmone già abbattuto 400 g', 'Aneto q.b.', 'Tabasco® 3 g', 'Scorza di limone 1', 'Sale fino q.b.', 'Pepe nero q.b.', 'Olio extravergine di oliva q.b.']"
Medagliette di riso con bagna cauda,ANTIPASTI,"['Riso 320 g', 'Parmigiano Reggiano DOP da grattugiare 60 g', 'Brodo vegetale q.b.', 'Prezzemolo riccio q.b.', 'Olio extravergine di oliva 150 g', 'Acciughe sotto sale 75 g', 'Aglio 3 spicchi']"
"Insalata di riso con agrumi, spinacino e gamberi",PIATTI UNICI,"['Riso per insalata 300 g', 'Gamberi rossi 16', 'Arance 1', 'Limoni 1', 'Lime 1', 'Spinacini 50 g', 'Arachidi salate tostate tritate 20 g', 'Sale fino q.b.', 'Pepe rosa in grani q.b.', 'Olio extravergine di oliva 100 g']"
"Caffè con cioccolato, peperoncino e vaniglia",BEVANDE,"['Caffè solubile Nescafè Gold 1 cucchiaio', 'Cioccolato fondente 25 g', 'Baccello di vaniglia ½', 'Peperoncino in polvere q.b.', 'Zucchero 10 g', 'Acqua 100 g', 'Ghiaccio 200 g', 'Cioccolato fondente q.b.']"
Zuppa frankenstein,PRIMI PIATTI,"['Spinaci 250 g', 'Broccoli 300 g', 'Pisellini 300 g', 'Carote 1', 'Sedano 1 costa', 'Riso venere 200 gr', 'Sale fino q.b.', 'Brodo vegetale q.b.', 'Olio di oliva extravergine q.b.', 'Acqua 1 l']"
Ciambelline al cioccolato e nocciole,DOLCI,"['Topping al cioccolato 100 g', 'Burro fuso 100 g', 'Zucchero muscovado 70 g', 'Uova ( circa 1) 60 g', 'Latte intero 70 g', 'Farina 00 200 g', 'Farina di nocciole 50 g', 'Lievito in polvere per dolci 10 g', 'Bicarbonato 3 g', 'Cacao amaro in polvere 20 g', 'Noce moscata 1 g', 'Topping al cioccolato 110 g', 'Burro 110 g', 'Cioccolato fondente 120 g', 'Nocciole intere spellate q.b.', 'Cioccolato fondente in scaglie q.b.']"
Cornbread burger con porcino,PIATTI UNICI,"['Farina di mais 70 g', 'Farina 00 100 g', 'Acqua 90 g', 'Olio extravergine di oliva 1 cucchiaio', 'Lievito di birra secco 2 g', 'Zucchero ½ cucchiaino', 'Sale fino 1 pizzico', 'Funghi porcini teste 4', ""Toma d'alpeggio 4 fette"", 'Radicchio 60 g', 'Aglio ½ spicchio', 'Olio extravergine di oliva 50 g', 'Aceto balsamico q.b.', 'Sale fino q.b.']"
Cupcake fiore di cioccolato,DOLCI,"['Gocce di cioccolato fondente 30 g', 'Cacao amaro in polvere 30 g', 'Farina 00 150 g', 'Burro (temperatura ambiente) 70 g', 'Zucchero 125 g', 'Uova (medio) 1 g', 'Latte intero 90 g', 'Lievito in polvere per dolci 4 g', 'Sale fino 1 pizzico', 'Cioccolato fondente al 70% 300 g', 'Cioccolato bianco 240 g', 'Cioccolatini (ripieni alla creme brulé) 6', 'Ribes 6 rametti']"
